ticket_id,created_at,resolved_at,channel,priority,status,first_response_minutes,handling_minutes,wait_minutes,resolution_minutes,satisfaction,agent_id
T-00094,2026-09-01T10:51:00+00:00,2026-09-01T11:40:00+00:00,web,low,closed,18,33,16,49,4,A-10
T-00095,2026-09-01T10:58:00+00:00,2026-09-01T11:55:00+00:00,email,medium,closed,19,34,23,57,5,A-11
T-00096,2026-09-01T11:05:00+00:00,,chat,high,open,20,35,30,65,,A-12
T-00097,2026-09-01T11:12:00+00:00,2026-09-01T12:25:00+00:00,web,low,closed,21,36,37,73,2,A-01
T-00098,2026-09-01T11:19:00+00:00,2026-09-01T12:40:00+00:00,email,medium,closed,22,37,44,81,3,A-02
T-00099,2026-09-01T11:26:00+00:00,2026-09-01T12:15:00+00:00,chat,high,closed,23,38,11,49,4,A-03
T-00100,2026-09-01T11:33:00+00:00,2026-09-01T12:30:00+00:00,web,low,closed,24,39,18,57,5,A-04
T-00101,2026-09-01T11:40:00+00:00,,email,medium,open,5,40,25,65,,A-05
T-00102,2026-09-01T11:47:00+00:00,2026-09-01T13:00:00+00:00,chat,high,closed,6,41,32,73,2,A-06
T-00103,2026-09-01T11:54:00+00:00,2026-09-01T13:15:00+00:00,web,low,closed,7,42,39,81,3,A-07
T-00104,2026-09-01T12:01:00+00:00,2026-09-01T12:50:00+00:00,email,medium,closed,8,43,6,49,4,A-08
T-00105,2026-09-01T12:08:00+00:00,2026-09-01T13:05:00+00:00,chat,high,closed,9,44,13,57,5,A-09
T-00106,2026-09-01T12:15:00+00:00,,web,low,open,10,45,20,65,,A-10
T-00107,2026-09-01T12:22:00+00:00,2026-09-01T13:35:00+00:00,email,medium,closed,11,46,27,73,2,A-11
T-00108,2026-09-01T12:29:00+00:00,2026-09-01T13:50:00+00:00,chat,high,closed,12,47,34,81,3,A-12
T-00109,2026-09-01T12:36:00+00:00,2026-09-01T14:05:00+00:00,web,low,closed,13,48,41,89,4,A-01
T-00110,2026-09-01T12:43:00+00:00,2026-09-01T13:40:00+00:00,email,medium,closed,14,49,8,57,5,A-02
T-00111,2026-09-01T12:50:00+00:00,,chat,high,open,15,50,15,65,,A-03
T-00112,2026-09-01T12:57:00+00:00,2026-09-01T14:10:00+00:00,web,low,closed,16,51,22,73,2,A-04
T-00113,2026-09-01T13:04:00+00:00,2026-09-01T14:25:00+00:00,email,medium,closed,17,52,29,81,3,A-05
T-00114,2026-09-01T13:11:00+00:00,2026-09-01T14:40:00+00:00,chat,high,closed,18,53,36,89,4,A-06
T-00115,2026-09-01T13:18:00+00:00,2026-09-01T14:55:00+00:00,web,low,closed,19,54,43,97,5,A-07
T-00116,2026-09-01T13:25:00+00:00,,email,medium,open,20,55,10,65,,A-08
T-00117,2026-09-01T13:32:00+00:00,2026-09-01T14:45:00+00:00,chat,high,closed,21,56,17,73,2,A-09
T-00118,2026-09-01T13:39:00+00:00,2026-09-01T15:00:00+00:00,web,low,closed,22,57,24,81,3,A-10
T-00119,2026-09-01T13:46:00+00:00,2026-09-01T15:15:00+00:00,email,medium,closed,23,58,31,89,4,A-11
T-00120,2026-09-01T13:53:00+00:00,2026-09-01T15:30:00+00:00,chat,high,closed,24,59,38,97,5,A-12
T-00121,2026-09-01T14:00:00+00:00,,web,low,open,5,20,5,25,,A-01
T-00122,2026-09-01T14:07:00+00:00,2026-09-01T14:40:00+00:00,email,medium,closed,6,21,12,33,2,A-02
T-00123,2026-09-01T14:14:00+00:00,2026-09-01T14:55:00+00:00,chat,high,closed,7,22,19,41,3,A-03
T-00124,2026-09-01T14:21:00+00:00,2026-09-01T15:10:00+00:00,web,low,closed,8,23,26,49,4,A-04
T-00125,2026-09-01T14:28:00+00:00,2026-09-01T15:25:00+00:00,email,medium,closed,9,24,33,57,5,A-05
T-00126,2026-09-01T14:35:00+00:00,,chat,high,open,10,25,40,65,,A-06
T-00127,2026-09-01T14:42:00+00:00,2026-09-01T15:15:00+00:00,web,low,closed,11,26,7,33,2,A-07
T-00128,2026-09-01T14:49:00+00:00,2026-09-01T15:30:00+00:00,email,medium,closed,12,27,14,41,3,A-08
T-00129,2026-09-01T14:56:00+00:00,2026-09-01T15:45:00+00:00,chat,high,closed,13,28,21,49,4,A-09
T-00130,2026-09-01T15:03:00+00:00,2026-09-01T16:00:00+00:00,web,low,closed,14,29,28,57,5,A-10
T-00131,2026-09-01T15:10:00+00:00,,email,medium,open,15,30,35,65,,A-11
T-00132,2026-09-01T15:17:00+00:00,2026-09-01T16:30:00+00:00,chat,high,closed,16,31,42,73,2,A-12
T-00133,2026-09-01T15:24:00+00:00,2026-09-01T16:05:00+00:00,web,low,closed,17,32,9,41,3,A-01
T-00134,2026-09-01T15:31:00+00:00,2026-09-01T16:20:00+00:00,email,medium,closed,18,33,16,49,4,A-02
T-00135,2026-09-01T15:38:00+00:00,2026-09-01T16:35:00+00:00,chat,high,closed,19,34,23,57,5,A-03
T-00136,2026-09-01T15:45:00+00:00,,web,low,open,20,35,30,65,,A-04
T-00137,2026-09-01T15:52:00+00:00,2026-09-01T17:05:00+00:00,email,medium,closed,21,36,37,73,2,A-05
T-00138,2026-09-01T15:59:00+00:00,2026-09-01T17:20:00+00:00,chat,high,closed,22,37,44,81,3,A-06
T-00139,2026-09-01T16:06:00+00:00,2026-09-01T16:55:00+00:00,web,low,closed,23,38,11,49,4,A-07
T-00140,2026-09-01T16:13:00+00:00,2026-09-01T17:10:00+00:00,email,medium,closed,24,39,18,57,5,A-08
T-00141,2026-09-01T16:20:00+00:00,,chat,high,open,5,40,25,65,,A-09
T-00142,2026-09-01T16:27:00+00:00,2026-09-01T17:40:00+00:00,web,low,closed,6,41,32,73,2,A-10
T-00143,2026-09-01T16:34:00+00:00,2026-09-01T17:55:00+00:00,email,medium,closed,7,42,39,81,3,A-11
T-00144,2026-09-01T16:41:00+00:00,2026-09-01T17:30:00+00:00,chat,high,closed,8,43,6,49,4,A-12
T-00145,2026-09-01T16:48:00+00:00,2026-09-01T17:45:00+00:00,web,low,closed,9,44,13,57,5,A-01
T-00146,2026-09-01T16:55:00+00:00,,email,medium,open,10,45,20,65,,A-02
T-00147,2026-09-01T17:02:00+00:00,2026-09-01T18:15:00+00:00,chat,high,closed,11,46,27,73,2,A-03
T-00148,2026-09-01T17:09:00+00:00,2026-09-01T18:30:00+00:00,web,low,closed,12,47,34,81,3,A-04
T-00149,2026-09-01T17:16:00+00:00,2026-09-01T18:45:00+00:00,email,medium,closed,13,48,41,89,4,A-05
T-00150,2026-09-01T17:23:00+00:00,2026-09-01T18:20:00+00:00,chat,high,closed,14,49,8,57,5,A-06
T-00151,2026-09-01T17:30:00+00:00,,web,low,open,15,50,15,65,,A-07
T-00152,2026-09-01T17:37:00+00:00,2026-09-01T18:50:00+00:00,email,medium,closed,16,51,22,73,2,A-08
T-00153,2026-09-01T17:44:00+00:00,2026-09-01T19:05:00+00:00,chat,high,closed,17,52,29,81,3,A-09
T-00154,2026-09-01T17:51:00+00:00,2026-09-01T19:20:00+00:00,web,low,closed,18,53,36,89,4,A-10
T-00155,2026-09-01T17:58:00+00:00,2026-09-01T19:35:00+00:00,email,medium,closed,19,54,43,97,5,A-11
T-00156,2026-09-01T18:05:00+00:00,,chat,high,open,20,55,10,65,,A-12
T-00157,2026-09-01T18:12:00+00:00,2026-09-01T19:25:00+00:00,web,low,closed,21,56,17,73,2,A-01
T-00158,2026-09-01T18:19:00+00:00,2026-09-01T19:40:00+00:00,email,medium,closed,22,57,24,81,3,A-02
T-00159,2026-09-01T18:26:00+00:00,2026-09-01T19:55:00+00:00,chat,high,closed,23,58,31,89,4,A-03
T-00160,2026-09-01T18:33:00+00:00,2026-09-01T20:10:00+00:00,web,low,closed,24,59,38,97,5,A-04
T-00161,2026-09-01T18:40:00+00:00,,email,medium,open,5,20,5,25,,A-05
T-00162,2026-09-01T18:47:00+00:00,2026-09-01T19:20:00+00:00,chat,high,closed,6,21,12,33,2,A-06
T-00163,2026-09-01T18:54:00+00:00,2026-09-01T19:35:00+00:00,web,low,closed,7,22,19,41,3,A-07
T-00164,2026-09-01T19:01:00+00:00,2026-09-01T19:50:00+00:00,email,medium,closed,8,23,26,49,4,A-08
T-00165,2026-09-01T19:08:00+00:00,2026-09-01T20:05:00+00:00,chat,high,closed,9,24,33,57,5,A-09
T-00166,2026-09-01T19:15:00+00:00,,web,low,open,10,25,40,65,,A-10
T-00167,2026-09-01T19:22:00+00:00,2026-09-01T19:55:00+00:00,email,medium,closed,11,26,7,33,2,A-11
T-00168,2026-09-01T19:29:00+00:00,2026-09-01T20:10:00+00:00,chat,high,closed,12,27,14,41,3,A-12
T-00169,2026-09-01T19:36:00+00:00,2026-09-01T20:25:00+00:00,web,low,closed,13,28,21,49,4,A-01
T-00170,2026-09-01T19:43:00+00:00,2026-09-01T20:40:00+00:00,email,medium,closed,14,29,28,57,5,A-02
T-00171,2026-09-01T19:50:00+00:00,,chat,high,open,15,30,35,65,,A-03
T-00172,2026-09-01T19:57:00+00:00,2026-09-01T21:10:00+00:00,web,low,closed,16,31,42,73,2,A-04
T-00173,2026-09-01T20:04:00+00:00,2026-09-01T20:45:00+00:00,email,medium,closed,17,32,9,41,3,A-05
T-00174,2026-09-01T20:11:00+00:00,2026-09-01T21:00:00+00:00,chat,high,closed,18,33,16,49,4,A-06
T-00175,2026-09-01T20:18:00+00:00,2026-09-01T21:15:00+00:00,web,low,closed,19,34,23,57,5,A-07
T-00176,2026-09-01T20:25:00+00:00,,email,medium,open,20,35,30,65,,A-08
T-00177,2026-09-01T20:32:00+00:00,2026-09-01T21:45:00+00:00,chat,high,closed,21,36,37,73,2,A-09
T-00178,2026-09-01T20:39:00+00:00,2026-09-01T22:00:00+00:00,web,low,closed,22,37,44,81,3,A-10
T-00179,2026-09-01T20:46:00+00:00,2026-09-01T21:35:00+00:00,email,medium,closed,23,38,11,49,4,A-11
T-00180,2026-09-01T20:53:00+00:00,2026-09-01T21:50:00+00:00,chat,high,closed,24,39,18,57,5,A-12
T-00181,2026-09-01T21:00:00+00:00,,web,low,open,5,40,25,65,,A-01
T-00182,2026-09-01T21:07:00+00:00,2026-09-01T22:20:00+00:00,email,medium,closed,6,41,32,73,2,A-02
T-00183,2026-09-01T21:14:00+00:00,2026-09-01T22:35:00+00:00,chat,high,closed,7,42,39,81,3,A-03
T-00184,2026-09-01T21:21:00+00:00,2026-09-01T22:10:00+00:00,web,low,closed,8,43,6,49,4,A-04
T-00185,2026-09-01T21:28:00+00:00,2026-09-01T22:25:00+00:00,email,medium,closed,9,44,13,57,5,A-05
T-00186,2026-09-01T21:35:00+00:00,,chat,high,open,10,45,20,65,,A-06
T-00187,2026-09-01T21:42:00+00:00,2026-09-01T22:55:00+00:00,web,low,closed,11,46,27,73,2,A-07
T-00188,2026-09-01T21:49:00+00:00,2026-09-01T23:10:00+00:00,email,medium,closed,12,47,34,81,3,A-08
T-00189,2026-09-01T21:56:00+00:00,2026-09-01T23:25:00+00:00,chat,high,closed,13,48,41,89,4,A-09
T-00190,2026-09-01T22:03:00+00:00,2026-09-01T23:00:00+00:00,web,low,closed,14,49,8,57,5,A-10
T-00191,2026-09-01T22:10:00+00:00,,email,medium,open,15,50,15,65,,A-11
T-00192,2026-09-01T22:17:00+00:00,2026-09-01T23:30:00+00:00,chat,high,closed,16,51,22,73,2,A-12
T-00193,2026-09-01T22:24:00+00:00,2026-09-01T23:45:00+00:00,web,low,closed,17,52,29,81,3,A-01
T-00194,2026-09-01T22:31:00+00:00,2026-09-02T00:00:00+00:00,email,medium,closed,18,53,36,89,4,A-02
T-00195,2026-09-01T22:38:00+00:00,2026-09-02T00:15:00+00:00,chat,high,closed,19,54,43,97,5,A-03
T-00196,2026-09-01T22:45:00+00:00,,web,low,open,20,55,10,65,,A-04
T-00197,2026-09-01T22:52:00+00:00,2026-09-02T00:05:00+00:00,email,medium,closed,21,56,17,73,2,A-05
T-00198,2026-09-01T22:59:00+00:00,2026-09-02T00:20:00+00:00,chat,high,closed,22,57,24,81,3,A-06
T-00199,2026-09-01T23:06:00+00:00,2026-09-02T00:35:00+00:00,web,low,closed,23,58,31,89,4,A-07
T-00200,2026-09-01T23:13:00+00:00,2026-09-02T00:50:00+00:00,email,medium,closed,24,59,38,97,5,A-08
T-00201,2026-09-01T23:20:00+00:00,,chat,high,open,5,20,5,25,,A-09
T-00202,2026-09-01T23:27:00+00:00,2026-09-02T00:00:00+00:00,web,low,closed,6,21,12,33,2,A-10
T-00203,2026-09-01T23:34:00+00:00,2026-09-02T00:15:00+00:00,email,medium,closed,7,22,19,41,3,A-11
T-00204,2026-09-01T23:41:00+00:00,2026-09-02T00:30:00+00:00,chat,high,closed,8,23,26,49,4,A-12
T-00205,2026-09-01T23:48:00+00:00,2026-09-02T00:45:00+00:00,web,low,closed,9,24,33,57,5,A-01
T-00206,2026-09-01T23:55:00+00:00,,email,medium,open,10,25,40,65,,A-02
T-00207,2026-09-02T00:02:00+00:00,2026-09-02T00:35:00+00:00,chat,high,closed,11,26,7,33,2,A-03
T-00208,2026-09-02T00:09:00+00:00,2026-09-02T00:50:00+00:00,web,low,closed,12,27,14,41,3,A-04
T-00209,2026-09-02T00:16:00+00:00,2026-09-02T01:05:00+00:00,email,medium,closed,13,28,21,49,4,A-05
T-00210,2026-09-02T00:23:00+00:00,2026-09-02T01:20:00+00:00,chat,high,closed,14,29,28,57,5,A-06
T-00211,2026-09-02T00:30:00+00:00,,web,low,open,15,30,35,65,,A-07
T-00212,2026-09-02T00:37:00+00:00,2026-09-02T01:50:00+00:00,email,medium,closed,16,31,42,73,2,A-08
T-00213,2026-09-02T00:44:00+00:00,2026-09-02T01:25:00+00:00,chat,high,closed,17,32,9,41,3,A-09
T-00214,2026-09-02T00:51:00+00:00,2026-09-02T01:40:00+00:00,web,low,closed,18,33,16,49,4,A-10
T-00215,2026-09-02T00:58:00+00:00,2026-09-02T01:55:00+00:00,email,medium,closed,19,34,23,57,5,A-11
T-00216,2026-09-02T01:05:00+00:00,,chat,high,open,20,35,30,65,,A-12
T-00217,2026-09-02T01:12:00+00:00,2026-09-02T02:25:00+00:00,web,low,closed,21,36,37,73,2,A-01
T-00218,2026-09-02T01:19:00+00:00,2026-09-02T02:40:00+00:00,email,medium,closed,22,37,44,81,3,A-02
T-00219,2026-09-02T01:26:00+00:00,2026-09-02T02:15:00+00:00,chat,high,closed,23,38,11,49,4,A-03
T-00220,2026-09-02T01:33:00+00:00,2026-09-02T02:30:00+00:00,web,low,closed,24,39,18,57,5,A-04
T-00221,2026-09-02T01:40:00+00:00,,email,medium,open,5,40,25,65,,A-05
T-00222,2026-09-02T01:47:00+00:00,2026-09-02T03:00:00+00:00,chat,high,closed,6,41,32,73,2,A-06
T-00223,2026-09-02T01:54:00+00:00,2026-09-02T03:15:00+00:00,web,low,closed,7,42,39,81,3,A-07
T-00224,2026-09-02T02:01:00+00:00,2026-09-02T02:50:00+00:00,email,medium,closed,8,43,6,49,4,A-08
T-00225,2026-09-02T02:08:00+00:00,2026-09-02T03:05:00+00:00,chat,high,closed,9,44,13,57,5,A-09
T-00226,2026-09-02T02:15:00+00:00,,web,low,open,10,45,20,65,,A-10
T-00227,2026-09-02T02:22:00+00:00,2026-09-02T03:35:00+00:00,email,medium,closed,11,46,27,73,2,A-11
T-00228,2026-09-02T02:29:00+00:00,2026-09-02T03:50:00+00:00,chat,high,closed,12,47,34,81,3,A-12
T-00229,2026-09-02T02:36:00+00:00,2026-09-02T04:05:00+00:00,web,low,closed,13,48,41,89,4,A-01
T-00230,2026-09-02T02:43:00+00:00,2026-09-02T03:40:00+00:00,email,medium,closed,14,49,8,57,5,A-02
T-00231,2026-09-02T02:50:00+00:00,,chat,high,open,15,50,15,65,,A-03
T-00232,2026-09-02T02:57:00+00:00,2026-09-02T04:10:00+00:00,web,low,closed,16,51,22,73,2,A-04
T-00233,2026-09-02T03:04:00+00:00,2026-09-02T04:25:00+00:00,email,medium,closed,17,52,29,81,3,A-05
T-00234,2026-09-02T03:11:00+00:00,2026-09-02T04:40:00+00:00,chat,high,closed,18,53,36,89,4,A-06
T-00235,2026-09-02T03:18:00+00:00,2026-09-02T04:55:00+00:00,web,low,closed,19,54,43,97,5,A-07
T-00236,2026-09-02T03:25:00+00:00,,email,medium,open,20,55,10,65,,A-08
T-00237,2026-09-02T03:32:00+00:00,2026-09-02T04:45:00+00:00,chat,high,closed,21,56,17,73,2,A-09
T-00238,2026-09-02T03:39:00+00:00,2026-09-02T05:00:00+00:00,web,low,closed,22,57,24,81,3,A-10
T-00239,2026-09-02T03:46:00+00:00,2026-09-02T05:15:00+00:00,email,medium,closed,23,58,31,89,4,A-11
T-00240,2026-09-02T03:53:00+00:00,2026-09-02T05:30:00+00:00,chat,high,closed,24,59,38,97,5,A-12
T-00241,2026-09-02T04:00:00+00:00,,web,low,open,5,20,5,25,,A-01
T-00242,2026-09-02T04:07:00+00:00,2026-09-02T04:40:00+00:00,email,medium,closed,6,21,12,33,2,A-02
T-00243,2026-09-02T04:14:00+00:00,2026-09-02T04:55:00+00:00,chat,high,closed,7,22,19,41,3,A-03
